bee_ID,sp,Date COLLECTED,j_date,Plant collected on,farm,visit,PA,crit_cnt,log10_cnt,Wing_MM,Hand_Wing,Counter_Inits,Notes,Treatment
222,vagans,7/26/2021,2021207,helianthus,GOLO,1,P,2,0.301029996,2.303,,SG,,CON
223,gris,7/26/2021,2021207,helianthus,GOLO,1,P,82,1.913813852,3.286528,3.66,SG,,CON
224,imp,7/26/2021,2021207,gomphrena,GOLO,1,P,246,2.390935107,2.842,,SG,,CON
225,imp,7/27/2021,2021208,eutrochium,GOLO,1,A,0,0,2.648,,SG,,CON
226,imp,7/27/2021,2021208,dahlia,GOLO,1,A,0,0,2.516,,SG,,CON
227,imp,7/27/2021,2021208,eutrochium,GOLO,1,A,0,0,2.337,,SG,,CON
228,imp,7/27/2021,2021208,clover,GOLO,1,P,131,2.117271296,2.578,,SG,old,CON
229,imp,7/27/2021,2021208,eutrochium,GOLO,1,P,31,1.491361694,2.63,,SG,,CON
230,imp,7/27/2021,2021208,eutrochium,GOLO,1,A,0,0,2.666,,SG,,CON
231,imp,7/27/2021,2021208,eutrochium,GOLO,1,P,25,1.397940009,2.514,,SG,,CON
232,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.442,,RY,,CON
233,imp,7/28/2021,2021209,melon,RCON,2,P,119,2.075546961,2.453,,RY,,CON
234,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.576,,SG,,CON
235,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.153,,SG,,CON
236,imp,7/28/2021,2021209,melon,RCON,2,P,5,0.698970004,2.074,,SG,,CON
237,bimac,7/28/2021,2021209,melon,RCON,2,P,390,2.591064607,2.64193,2.85,SG,,CON
238,imp,7/28/2021,2021209,melon,RCON,2,P,1,0,2.088,,RY,,CON
239,imp,7/28/2021,2021209,melon,RCON,2,P,6,0.77815125,2.358,,RY,,CON
240,imp,7/28/2021,2021209,melon,RCON,2,A,0,0,2.647,,SG,,CON
241,imp,7/28/2021,2021209,melon,RCON,2,NA,NA,NA,NA,,SG,dead 7/29,CON
242,imp,7/28/2021,2021209,melon,RCON,2,P,99,1.995635195,1.894,,SG,,CON
243,imp,7/28/2021,2021209,clover,RCON,2,A,0,0,2.943,,RY,,CON
244,imp,7/28/2021,2021209,melon,RCON,2,P,31,1.491361694,2.209,,RY,,CON
245,gris,7/28/2021,2021209,melon,RCON,2,A,0,0,3.31836,3.7,SG,,CON
246,imp,7/28/2021,2021209,melon,RCON,2,P,72,1.857332496,2.566,,SG,,CON
247,imp,7/28/2021,2021209,melon,RCON,2,P,3,0.477121255,1.937,,SG,,CON
