date,visit,farm,genus,num_row,row_length,row_cnt,inflr_count,tot_inflr,initials,sf_nsfcut_border,cut_border,row_cover,notes
8/5/2021,2,LAUR,zinnia,1,82,10,5,41,SG/EK,nsfcut,cut,row,patchy
8/5/2021,2,LAUR,zinnia,1,64,10,13,83.2,SG/EK,nsfcut,cut,row,patchy
8/5/2021,2,LAUR,calendula,1,90,10,22,198,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,calendula,1,20,20,23,23,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,199,10,16,318.4,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,18,18,23,23,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,55,10,23,126.5,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,calendula,1,33,10,12,39.6,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,159,10,7,111.3,SG/EK,nsfcut,cut,row,patchy
8/5/2021,2,LAUR,zinnia,1,130,10,20,260,SG/EK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,2,354,10,39,2761.2,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,131,10,20,262,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,223,10,39,869.7,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,354,10,21,743.4,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,84,10,5,42,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,270,10,39,1053,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,114,10,24,273.6,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,231,10,19,438.9,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,1,354,10,20,708,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,3,354,10,20,2124,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,5,354,10,13,2301,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,2,354,10,10,708,TK,nsfcut,cut,row,
8/5/2021,2,LAUR,zinnia,3,354,10,18,1911.6,TK,nsfcut,cut,row,
